SRR6463791_Nigeria	SRR6463791
SRR6463773_Nigeria	SRR6463773
SRR6463761_Nigeria	SRR6463761
SRR6463557_Nigeria	SRR6463557
SRR7853904_Cameroon	SRR7853904
SRR7853901_Cameroon	SRR7853901
SRR7853897_Cameroon	SRR7853897
SRR9184388_Liberia	SRR9184388
SRR9184377_India	SRR9184377
SRR9184374_Nigeria	SRR9184374
SRR9184360_India	SRR9184360
SRR9184359_Uganda	SRR9184359
SRR9260977_Senegal	SRR9260977
SRR9260970_Senegal	SRR9260970
SRR9260964_Senegal	SRR9260964
SRR9260961_Brazil	SRR9260961
SRR9260958_Brazil	SRR9260958
SRR9260946_Senegal	SRR9260946
SRR9260939_Senegal	SRR9260939
SRR9260905_Senegal	SRR9260905
