AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	Gene	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	Study_type	collected_by	collection_date	geo_loc_name	host	host_disease	isolate	isolation_source	sample_type	strain	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
502	SAMN08326970	sra	sra-sos	sra-sos.public	SRX3553753	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	5756	2018-01-11	5	2	Plasmodium falciparum	2018-01-11	SRR6463791	SRS2827129	14NINJxxx5756PfB1230	Domestic malaria imported sample (MaRS_US)	New Jersey	2014	Nigeria	Homo sapiens	Malaria	5756	blood	missing		AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
502	SAMN08326954	sra	sra-sos	sra-sos.public	SRX3553771	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	5690	2018-01-11	3	2	Plasmodium falciparum	2018-01-11	SRR6463773	SRS2827145	14NIPAxxx5690PfB1230	Domestic malaria imported sample (MaRS_US)	Pennsylvania	2014	Nigeria	Homo sapiens	Malaria	5690	blood	missing		AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
502	SAMN08327021	sra	ncbi		SRX3553783	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	5901	2018-01-11	5	2	Plasmodium falciparum	2018-01-11	SRR6463761	SRS2827156	14NIFLxxx5901PfB1230	Domestic malaria imported sample (MaRS_US)	Florida	2014	Nigeria	Homo sapiens	Malaria	5901	blood	missing		AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
308	SAMN08327031	sra	ncbi		SRX3553987	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	16-003	2018-01-11	27	15	Plasmodium falciparum	2018-01-11	SRR6463557	SRS2827362	16NIFLxxx0003PfB1230	Domestic malaria imported sample (MaRS_US)	Florida	2016	Nigeria	Homo sapiens	Malaria	16-003	blood	missing		AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
326	SAMN10078379	sra	sra-sos	sra-sos.public	SRX4704537	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	17CMxx00x0052PfF1191	2018-09-17	1	0	Plasmodium falciparum	2018-09-17	SRR7853904	SRS3790406	17CMxx00x0052PfF1191	Drug Resistance Surveillance and Research (Cameroon)		2017	Cameroon	"Homo Sapiens"		17CMxx00x0052PfF1191	blood	Dried blood filter paper		AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
326	SAMN10078428	sra	ncbi		SRX4704540	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	17CMxx00x0114PfF1191	2018-09-17	5	3	Plasmodium falciparum	2018-09-17	SRR7853901	SRS3790409	17CMxx00x0114PfF1191	Drug Resistance Surveillance and Research (Cameroon)		2017	Cameroon	"Homo Sapiens"		17CMxx00x0114PfF1191	blood	Dried blood filter paper		AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
318	SAMN10078424	sra	sra-sos	sra-sos.public	SRX4704544	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	17CMxx00x0110PfF1191	2018-09-17	3	1	Plasmodium falciparum	2018-09-17	SRR7853897	SRS3790413	17CMxx00x0110PfF1191	Drug Resistance Surveillance and Research (Cameroon)		2017	Cameroon	"Homo Sapiens"		17CMxx00x0110PfF1191	blood	Dried blood filter paper		AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
233	SAMN11831268	fastq sra	ncbi s3	s3.us-east-1	SRX5956755	K13, CytB, DHPS, DHFR, CRT, MDR1	18LRPA00x0020PfB1190	2019-06-03	4	2	Plasmodium falciparum	2019-06-03	SRR9184388	SRS4867245	18LRPA00x0020PfB1190	Domestic imported malaria sample (DMS 2018)	Pennsylvania	2018	Liberia	"Homo Sapiens"	Malaria	18LRPA00x0020PfB1190	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
335	SAMN11831341	fastq sra	ncbi s3	s3.us-east-1	SRX5956766	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18INAZxxx0103PfB1230	2019-06-03	2	1	Plasmodium falciparum	2019-06-03	SRR9184377	SRS4867259	18INAZxxx0103PfB1230	Domestic imported malaria sample (DMS 2018)	Arizona	2018	India	"Homo Sapiens"	Malaria	18INAZxxx0103PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
337	SAMN11831388	fastq sra	ncbi s3	s3.us-east-1	SRX5956769	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18NGTXxxx0157PfB1230	2019-06-03	4	2	Plasmodium falciparum	2019-06-03	SRR9184374	SRS4867258	18NGTXxxx0157PfB1230	Domestic imported malaria sample (DMS 2018)	Texas	2018	Nigeria	"Homo Sapiens"	Malaria	18NGTXxxx0157PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
